"","latitude","longitude","name","cuisine","price","rating","review_count","neighborhood","borough"
"62",40.7200188460948,-73.9969412164592,"Benito One","italian","$$",4,647,"Little Italy","Manhattan"
"63",40.7436553,-73.9852171,"Tarallucci E Vino - Nomad","italian","$$",4,111,"Midtown","Manhattan"
"64",40.7266287,-73.9863384,"Tableside Italian Cook Shoppe","italian","$$",4.5,200,"East Village","Manhattan"
"65",40.72077,-74.00489,"Pepolino Restaurant","italian","$$$",4,515,"Tribeca","Manhattan"
"66",40.76283,-73.96602,"Isle of Capri","italian","$$$",4,206,"Upper East Side","Manhattan"
"67",40.727989,-73.98845,"San Marzano Pasta Fresca","italian","$$",4,978,"East Village","Manhattan"
"68",40.76364,-73.98678,"Laboratorio","italian","$$",4,88,"Hell's Kitchen","Manhattan"
"69",40.73881,-73.9940699,"Basta Pasta","italian","$$",4,1351,"Chelsea","Manhattan"
"70",40.744509,-73.9856,"Scarpetta","italian","$$$",4,1780,"Midtown","Manhattan"
"71",40.72959,-74.0011,"Monte's Trattoria","italian","$$",4,315,"Greenwich Village","Manhattan"
"72",40.72583,-73.99299,"Il Buco","italian","$$$",4,612,"NoHo","Manhattan"
"73",40.754296,-73.995498,"Sergimmo Salumeria","italian","$$",4,645,"Hell's Kitchen","Manhattan"
"74",40.7629335072372,-73.9776668697596,"PizzArte","italian","$$",4,996,"Midtown","Manhattan"
"75",40.70789,-74.00712,"Felice","italian","$$",4,312,"Financial District","Manhattan"
"76",40.723625,-73.988555,"Lil' Frankie's","italian","$$",4,992,"East Village","Manhattan"
"77",40.7262073,-74.0018919,"Il Corallo Trattoria","italian","$$",4,877,"SoHo","Manhattan"
"78",40.72903,-74.00357,"Cotenna","italian","$$",4,362,"West Village","Manhattan"
"79",40.7407551035259,-73.9914887388588,"Zero Otto Nove","italian","$$",4,447,"Flatiron District","Manhattan"
"80",40.736218,-73.99597,"Da Andrea","italian","$$",4,700,"Greenwich Village","Manhattan"
"81",40.723315,-73.983139,"Gnoccheria by Luzzo's","italian","$$",4,285,"East Village","Manhattan"
"82",40.77972,-73.97752,"Da Capo Columbus","italian","$$",4,94,"Upper West Side","Manhattan"
"83",40.7684,-73.98558,"Masseria Dei Vini","italian","$$$",4,408,"Hell's Kitchen","Manhattan"
"84",40.7398415,-73.9792862,"Patrizia's Pizza and Pasta","italian","$$",4,502,"Kips Bay","Manhattan"
"85",40.7570686,-73.9684186,"La Gioconda","italian","$$",4,149,"Midtown","Manhattan"
